-130344.33190158987,-130978.94263016495,-130588.59176499746,-130499.40830462078,-130579.7181224487,-131071.27768650981,-130325.69054671415,-130491.47343533915
-130311.87716864076,-130905.4500943959,-130576.1194915914,-130477.88357471033,-130587.0718463745,-131008.53633982377,-130323.12009610177,-130480.58813578942
-130288.67605789615,-130841.56880874262,-130572.83378515647,-130465.43365304872,-130583.04853237254,-130955.42859499797,-130319.99085187804,-130476.25189736509
-130284.22806074955,-130799.9722123113,-130591.94452666576,-130474.17318513074,-130592.23509934368,-130923.37619344905,-130326.04817462542,-130489.84175799391
-130272.31458095487,-130750.35133962052,-130602.98628842668,-130475.8942694538,-130596.37017206791,-130884.66297205247,-130331.72551771707,-130497.39664761981
-130243.97256898554,-130636.64801557637,-130596.325468579,-130459.46573727916,-130594.44792204475,-130829.4765149923,-130336.01705265249,-130490.86993823886
-130200.02903938641,-130482.35392360139,-130572.76672992311,-130425.69225140719,-130600.37113432541,-130757.16862167939,-130335.50296253002,-130476.98950493212
-130148.15064050564,-130589.08350337548,-130541.07195628548,-130383.84978578685,-130595.6772679898,-130676.81410036256,-130339.79449746544,-130509.51129311458
-130097.36747710318,-130772.65838058692,-130533.1147352594,-130366.52718383398,-130591.20691909874,-130619.88420723489,-130340.33093933237,-130525.82806656696
-130134.85135255473,-131025.12133420962,-130515.6580228398,-130340.82267771038,-130600.46054130323,-130555.10885180341,-130339.88390444327,-130505.3538686459
-130337.33580557536,-131135.18132390754,-130492.88159523984,-130310.46900874008,-130593.10681737744,-130485.5949265474,-130333.87128518478,-130483.11388291288
-130371.51162284752,-131065.39917771808,-130478.33060959943,-130286.1503107727,-130592.79389295506,-130423.56883568394,-130336.15116311923,-130482.68919976823
-130344.17543937868,-130996.0640664177,-130471.84860370739,-130267.73247334153,-130591.98923015466,-130367.98004722358,-130337.91695093119,-130530.4101741803
-130337.89459918674,-130952.14288856303,-130490.13233067184,-130275.68969436763,-130601.86870120392,-130337.40286080872,-130340.7109189881,-130557.79106113805
-130324.95293914712,-130901.96322226086,-130500.23531916563,-130276.76257810148,-130604.01446867162,-130299.91898535717,-130344.95775043462,-130564.54128796356
